,tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux,star_tessid,twomass,gaiaid,sector,magnitude,luminosity,metallicity,distance,star_mass,star_radius,constellation,rightascension,declination
44,00141622065-01,141622065,1,1,6640.1,4.23521,1.46396,8.29094e-06,60.7015,10.9336,0.38972,2.1186,0.0273825,1.42674,161542.0,375.997,7.59691,1326.31,0.000172738,2.89889,0.513868,2.63665,0.5625,38,870.181,190.877,41.243,2114.96,4728.56,141622065,05565489-7320334,4.650570251448825e+18,s0005,9.7993,DWARF,-0.286064,529.0219999999999,1.4,3.61396,Mensa,89.2287417,-73.34263937
45,00141624979-01,141624979,1,1,4922.25,4.68056,30.3585,0.0123625,3.00358,1.11976,0.031029,36.0067,0.211856,0.886684,1016.62,163.274,5.01497,1349.41,0.00965995,0.271562,0.676109,2.55973,22.1305,2,6.10193,7.4705,6.8044600000000015,444.344,9.21294,141624979,05584505-7315373,4.650568842699617e+18,s0001,10.9612,DWARF,0.07839589999999999,118.40899999999999,0.81,0.761167,Mensa,89.68768063,-73.26035698
46,00141708335-01,141708335,1,1,3384.0,4.92123,4.76074,0.000573611,1.96004,0.346694,0.0547379,6.91224,0.0381883,0.328,2579.54,181.133,2.88247,1328.66,0.00364936,0.712321,0.904493,3.01805,-1.02639,12,32.3031,14.4346,6.85645,437.617,8.66756,141708335,06014977-7717556,5.260504020344495e+18,s0005,12.055,DWARF,,48.7639,0.41805699999999996,0.423791,Mensa,90.45752774,-77.29882581
47,00141712167-01,141712167,1,1,5875.0,4.32736,0.433041,2.42148e-05,1.43353,2.19913,0.0112029,5.16026,0.0114448,1.17212,143.607,21.4618,0.623873,1325.72,0.00124647,0.00767377,0.29975300000000005,2.14311,0.17364000000000002,130,124.035,8.33531,3.40624,2623.5,11195.6,141712167,06033157-7245523,,s0001,9.39,DWARF,,123.949,,,Mensa,90.881578,-72.76451899999999
48,00141757920-01,141757920,1,2,7369.05,4.037719999999998,0.327665,1.79771e-05,3.61049,1.67383,0.0208047,2.37095,0.00932287,1.58965,465.74,58.3499,0.970269,1325.55,0.0008288260000000001,0.0285284,0.5279560000000001,12.2401,0.16512000000000002,171,84.2323,7.2496399999999985,2.81009,4245.99,76813.6,141757920,06063263-7301211,5.265921142340688e+18,s0001,9.9656,DWARF,-0.531567,343.536,1.68,1.8339299999999998,Mensa,91.63600905,-73.02254933
50,00141769434-01,141769434,1,1,5463.0,4.407,23.5653,0.0045146,5.21226,5.3364,0.0471211,46.1663,0.15854100000000002,1.01323,2628.93,312.395,4.06611,1347.57,0.00364748,0.184662,0.0968195,4.16323,16.7042,2,2.4694,8.65076,6.89612,609.405,32.5945,141769434,06073447-7506292,5.261715265544014e+18,s0001,10.9199,GIANT,,815.4630000000001,,4.220269999999999,Mensa,91.89370561,-75.10815190000001
51,00141770047-01,141770047,1,1,7675.0,4.39824,0.269432,2.0714e-05,3.13107,1.08949,0.0204179,2.41024,0.009937,1.40469,381.742,68.9649,0.446179,1325.37,0.000883933,0.04417,0.9,4.82285,0.05625,209,157.446,7.871410000000001,2.97951,4026.55,62123.0,141770047,06075115-7621112,5.261347173964525e+18,s0001,10.2716,DWARF,,404.765,1.88,1.67356,Mensa,91.96309146,-76.35311913
52,00141770299-01,141770299,1,2,6227.0,4.26512,26.4166,0.0065191,11.175999999999998,11.1823,0.07647029999999999,16.8097,0.184745,1.33872,6645.87,382.4,12.5235,1328.18,0.00865134,0.955091,0.26887300000000003,5.67307,-2.40417,3,24.1231,19.8601,17.4778,739.655,70.7354,141770299,06072604-7655371,5.260518726312221e+18,s0001,9.0503,DWARF,,153.493,1.16,1.57184,Mensa,91.85841183,-76.92690870000001
54,00141772259-01,141772259,1,1,6971.0,4.57,4.4152,0.0008230739999999999,2.99276,0.77891,0.0158359,3.26017,0.0840763,1.73112,283.103,24.3739,10.6656,1328.02,0.00558834,0.172532,0.0676456,3.24783,2.21111,13,7.714689999999999,8.7763,3.18991,1395.77,896.966,141772259,06084200-7450557,5.264724358291536e+18,s0001,9.5994,DWARF,-0.48,226.123,1.53,1.5302,Mensa,92.17498134,-74.84883034
55,00141809359-01,141809359,1,2,4695.0,4.53314,12.1575,0.000115817,30.579,6.15497,0.3607530000000001,19.7933,0.0940816,0.776443,71745.4,360.184,4.72759,1328.1,0.00028939,2.3637900000000003,0.916302,63.4949,7.87778,5,91.2028,257.697,118.937,595.155,29.6511,141809359,06103426-7347117,5.265050015603242e+18,s0005,11.3725,GIANT,,983.334,,6.30857,Mensa,92.64274745,-73.78661511
